,Unnamed: 0,GR,NPHI,RHOB,DEPT,RM,RT,FACIES,idx,zone,color,grmax,grmin,rhoma,rhofl,phish,VSHALE,PHID,PHIT,PHIE
240,240,108.44565,,,240,,,,240,0,black,100,20,2.65,1.1,0.4,1.105570625,,,
241,241,102.4909625,,,241,,,,241,0,black,100,20,2.65,1.1,0.4,1.03113703125,,,
242,242,106.906775,,,242,,,,242,0,black,100,20,2.65,1.1,0.4,1.0863346875,,,
243,243,99.35482875,,,243,,,,243,0,black,100,20,2.65,1.1,0.4,0.991935359375,,,
244,244,107.731925,,,244,,,,244,0,black,100,20,2.65,1.1,0.4,1.0966490625,,,
245,245,108.0724375,,,245,,,,245,0,black,100,20,2.65,1.1,0.4,1.1009054687500002,,,
246,246,102.3778375,,,246,,,,246,0,black,100,20,2.65,1.1,0.4,1.02972296875,,,
247,247,107.03527499999998,,,247,,,,247,0,black,100,20,2.65,1.1,0.4,1.0879409374999998,,,
248,248,111.731425,,,248,,,,248,0,black,100,20,2.65,1.1,0.4,1.1466428125,,,
249,249,116.0166125,,,249,,,,249,0,black,100,20,2.65,1.1,0.4,1.20020765625,,,
250,250,120.1142125,,,250,,,,250,0,black,100,20,2.65,1.1,0.4,1.25142765625,,,
251,251,111.4396375,,,251,,,,251,0,black,100,20,2.65,1.1,0.4,1.1429954687500001,,,
252,252,107.1943375,,,252,,,,252,0,black,100,20,2.65,1.1,0.4,1.08992921875,,,
253,253,109.44241250000002,,,253,,,,253,0,black,100,20,2.65,1.1,0.4,1.1180301562500001,,,
254,254,120.3767875,,,254,,,,254,0,black,100,20,2.65,1.1,0.4,1.2547098437500002,,,
255,255,115.6868125,,,255,,,,255,0,black,100,20,2.65,1.1,0.4,1.1960851562500001,,,
256,256,115.1279,,,256,,,,256,0,black,100,20,2.65,1.1,0.4,1.1890987499999999,,,
257,257,110.9204125,,,257,,,,257,0,black,100,20,2.65,1.1,0.4,1.13650515625,,,
258,258,104.0730625,,,258,,,,258,0,black,100,20,2.65,1.1,0.4,1.0509132812500002,,,
259,259,113.087325,,,259,,,,259,0,black,100,20,2.65,1.1,0.4,1.1635915625000002,,,
260,260,98.57033,,,260,,,,260,0,black,100,20,2.65,1.1,0.4,0.9821291249999999,,,
261,261,101.36675,,,261,,,,261,0,black,100,20,2.65,1.1,0.4,1.017084375,,,
262,262,109.828675,,,262,,,,262,0,black,100,20,2.65,1.1,0.4,1.1228584375000001,,,
263,263,115.28827500000004,,,263,,,,263,0,black,100,20,2.65,1.1,0.4,1.1911034375000005,,,
264,264,111.29305,,,264,,,,264,0,black,100,20,2.65,1.1,0.4,1.1411631249999998,,,
265,265,106.38385,,,265,,,,265,0,black,100,20,2.65,1.1,0.4,1.079798125,,,
266,266,114.423025,,,266,,,,266,0,black,100,20,2.65,1.1,0.4,1.1802878125,,,
267,267,111.4507625,,,267,,,,267,0,black,100,20,2.65,1.1,0.4,1.1431345312499999,,,
268,268,105.505175,,,268,,,,268,0,black,100,20,2.65,1.1,0.4,1.0688146875,,,
269,269,111.5855125,,,269,,,,269,0,black,100,20,2.65,1.1,0.4,1.1448189062499998,,,
270,270,110.9992375,,,270,,,,270,0,black,100,20,2.65,1.1,0.4,1.13749046875,,,
271,271,111.9651625,,,271,,,,271,0,black,100,20,2.65,1.1,0.4,1.14956453125,,,
